model,configuration,tvl,trade_fraction,gross_input,fee_paid,net_input,output,execution_price,slippage
Curve StableSwap,A=1000,100000,0.001,100.0,0.04,99.96,99.9598003592182,0.9995980035921821,0.0004019857019136319
Curve StableSwap,A=1000,100000,0.005,500.0,0.2,499.8,499.79500854231446,0.9995900170846289,0.00040997220955241165
Curve StableSwap,A=1000,100000,0.01,1000.0,0.4,999.6,999.5800283935532,0.9995800283935532,0.0004199609007350391
Curve StableSwap,A=1000,100000,0.02,2000.0,0.8,1999.2,1999.1200194321937,0.9995600097160968,0.0004399795784058025
Curve StableSwap,A=1000,100000,0.05,5000.0,2.0,4998.0,4997.495923238326,0.9994991846476653,0.0005008046474888062
Curve StableSwap,A=1000,100000,0.1,10000.0,4.0,9996.0,9993.921108760842,0.9993921108760841,0.0006078784202167009
Curve StableSwap,A=1000,100000,0.2,20000.0,8.0,19992.0,19982.50408482705,0.9991252042413525,0.000874785057807026
Balancer Weighted,50/50,100000,0.001,100.0,0.3,99.7,99.5015938219157,0.995015938219157,0.0049840617808429855
Balancer Weighted,50/50,100000,0.005,500.0,1.5,498.5,493.579017198531,0.987158034397062,0.012841965602938044
Balancer Weighted,50/50,100000,0.01,1000.0,3.0,997.0,977.5084808910317,0.9775084808910317,0.022491519108968294
Balancer Weighted,50/50,100000,0.02,2000.0,6.0,1994.0,1917.528945647573,0.9587644728237865,0.04123552717621348
Balancer Weighted,50/50,100000,0.05,5000.0,15.0,4985.0,4533.054469400743,0.9066108938801486,0.0933891061198514
Balancer Weighted,50/50,100000,0.1,10000.0,30.0,9970.0,8312.489578122395,0.8312489578122395,0.1687510421877605
Balancer Weighted,50/50,100000,0.2,20000.0,60.0,19940.0,14255.075779239345,0.7127537889619673,0.2872462110380327
Balancer Weighted,80/20,100000,0.001,100.0,0.3,99.7,99.39014474211305,0.9939014474211305,0.006098552578869487
Balancer Weighted,80/20,100000,0.005,500.0,1.5,498.5,490.83003973433125,0.9816600794686625,0.018339920531337484
Balancer Weighted,80/20,100000,0.01,1000.0,3.0,997.0,966.6949034025918,0.9666949034025918,0.03330509659740821
Balancer Weighted,80/20,100000,0.02,2000.0,6.0,1994.0,1875.683008053295,0.9378415040266475,0.062158495973352546
Balancer Weighted,80/20,100000,0.05,5000.0,15.0,4985.0,4295.618797135392,0.8591237594270784,0.14087624057292158
Balancer Weighted,80/20,100000,0.1,10000.0,30.0,9970.0,7497.4367094031695,0.7497436709403169,0.2502563290596831
Balancer Weighted,80/20,100000,0.2,20000.0,60.0,19940.0,11788.309673373366,0.5894154836686682,0.41058451633133175
Uniswap V2,0.30% fee,1000000,0.001,1000.0,3.0,997.0,995.0159382192069,0.9950159382192069,0.0049840617807931364
Uniswap V2,0.30% fee,1000000,0.005,5000.0,15.0,4985.0,4935.790171985282,0.9871580343970563,0.012841965602943706
Uniswap V2,0.30% fee,1000000,0.01,10000.0,30.0,9970.0,9775.084808910324,0.9775084808910324,0.022491519108967628
Uniswap V2,0.30% fee,1000000,0.02,20000.0,60.0,19940.0,19175.28945647576,0.958764472823788,0.04123552717621204
Uniswap V2,0.30% fee,1000000,0.05,50000.0,150.0,49850.0,45330.54469400743,0.9066108938801487,0.0933891061198513
Uniswap V2,0.30% fee,1000000,0.1,100000.0,300.0,99700.0,83124.89578122395,0.8312489578122395,0.1687510421877605
Uniswap V2,0.30% fee,1000000,0.2,200000.0,600.0,199400.0,142550.7577923935,0.7127537889619675,0.2872462110380325
Uniswap V3,"narrow [0.95, 1.05]",1000000,0.001,1000.0,3.0,997.0,996.9508780068555,0.9969508780068556,0.0030491219931444435
Uniswap V3,"narrow [0.95, 1.05]",1000000,0.005,5000.0,15.0,4985.0,4983.772192123206,0.9967544384246412,0.003245561575358824
Uniswap V3,"narrow [0.95, 1.05]",1000000,0.01,10000.0,30.0,9970.0,9965.089977838137,0.9965089977838137,0.0034910022161862564
Uniswap V3,"narrow [0.95, 1.05]",1000000,0.02,20000.0,60.0,19940.0,19920.36957893201,0.9960184789466006,0.003981521053399439
Uniswap V3,"narrow [0.95, 1.05]",1000000,0.05,50000.0,150.0,49850.0,49727.49077913363,0.9945498155826726,0.005450184417327364
