model,configuration,terminal_price,price_change,impermanent_loss,daily_volume_fraction,availability,fee_return,net_return
Curve StableSwap,A=1000,1.05,0.05,-0.0198773976563843,0.5,1.0,0.006,-0.013877397656384299
Curve StableSwap,A=1000,1.05,0.05,-0.0198773976563843,1.0,1.0,0.012,-0.007877397656384299
Balancer Weighted,50/50,0.5,-0.5,-0.05719095841793653,0.1,1.0,0.009000000000000001,-0.04819095841793653
Balancer Weighted,50/50,0.5,-0.5,-0.05719095841793653,0.5,1.0,0.045,-0.012190958417936534
Balancer Weighted,50/50,0.5,-0.5,-0.05719095841793653,1.0,1.0,0.09,0.032809041582063464
Balancer Weighted,50/50,0.8,-0.2,-0.006192010000093284,0.1,1.0,0.009000000000000001,0.0028079899999067168
Balancer Weighted,50/50,0.8,-0.2,-0.006192010000093284,0.5,1.0,0.045,0.038807989999906714
Balancer Weighted,50/50,0.8,-0.2,-0.006192010000093284,1.0,1.0,0.09,0.08380798999990671
Balancer Weighted,50/50,0.95,-0.05,-0.00032878514779843826,0.1,1.0,0.009000000000000001,0.008671214852201563
Balancer Weighted,50/50,0.95,-0.05,-0.00032878514779843826,0.5,1.0,0.045,0.04467121485220156
Balancer Weighted,50/50,0.95,-0.05,-0.00032878514779843826,1.0,1.0,0.09,0.08967121485220156
Balancer Weighted,50/50,1.05,0.05,-0.00029748624784398103,0.1,1.0,0.009000000000000001,0.00870251375215602
Balancer Weighted,50/50,1.05,0.05,-0.00029748624784398103,0.5,1.0,0.045,0.04470251375215602
Balancer Weighted,50/50,1.05,0.05,-0.00029748624784398103,1.0,1.0,0.09,0.08970251375215602
Balancer Weighted,50/50,1.2,0.2,-0.004140804536061582,0.1,1.0,0.009000000000000001,0.004859195463938419
Balancer Weighted,50/50,1.2,0.2,-0.004140804536061582,0.5,1.0,0.045,0.040859195463938416
Balancer Weighted,50/50,1.2,0.2,-0.004140804536061582,1.0,1.0,0.09,0.08585919546393841
Balancer Weighted,50/50,1.5,0.5,-0.02020410288672858,0.1,1.0,0.009000000000000001,-0.01120410288672858
Balancer Weighted,50/50,1.5,0.5,-0.02020410288672858,0.5,1.0,0.045,0.024795897113271417
Balancer Weighted,50/50,1.5,0.5,-0.02020410288672858,1.0,1.0,0.09,0.06979589711327142
Balancer Weighted,80/20,0.5,-0.5,-0.04275137083580327,0.1,1.0,0.009000000000000001,-0.03375137083580327
Balancer Weighted,80/20,0.5,-0.5,-0.04275137083580327,0.5,1.0,0.045,0.0022486291641967276
Balancer Weighted,80/20,0.5,-0.5,-0.04275137083580327,1.0,1.0,0.09,0.047248629164196726
Balancer Weighted,80/20,0.8,-0.2,-0.004152807055929242,0.1,1.0,0.009000000000000001,0.004847192944070759
Balancer Weighted,80/20,0.8,-0.2,-0.004152807055929242,0.5,1.0,0.045,0.040847192944070757
Balancer Weighted,80/20,0.8,-0.2,-0.004152807055929242,1.0,1.0,0.09,0.08584719294407075
Balancer Weighted,80/20,0.95,-0.05,-0.0002126183832915629,0.1,1.0,0.009000000000000001,0.008787381616708438
Balancer Weighted,80/20,0.95,-0.05,-0.0002126183832915629,0.5,1.0,0.045,0.044787381616708435
Balancer Weighted,80/20,0.95,-0.05,-0.0002126183832915629,1.0,1.0,0.09,0.08978738161670843
Balancer Weighted,80/20,1.05,0.05,-0.00018856403730171944,0.1,1.0,0.009000000000000001,0.008811435962698282
Balancer Weighted,80/20,1.05,0.05,-0.00018856403730171944,0.5,1.0,0.045,0.04481143596269828
Balancer Weighted,80/20,1.05,0.05,-0.00018856403730171944,1.0,1.0,0.09,0.08981143596269828
Balancer Weighted,80/20,1.2,0.2,-0.0025594786179711226,0.1,1.0,0.009000000000000001,0.006440521382028878
Balancer Weighted,80/20,1.2,0.2,-0.0025594786179711226,0.5,1.0,0.045,0.042440521382028876
Balancer Weighted,80/20,1.2,0.2,-0.0025594786179711226,1.0,1.0,0.09,0.08744052138202887
Balancer Weighted,80/20,1.5,0.5,-0.012027237698148063,0.1,1.0,0.009000000000000001,-0.0030272376981480623
Balancer Weighted,80/20,1.5,0.5,-0.012027237698148063,0.5,1.0,0.045,0.032972762301851935
Balancer Weighted,80/20,1.5,0.5,-0.012027237698148063,1.0,1.0,0.09,0.07797276230185193
